"gene","coef","pVal","Std.error","pVal_adj","qVal"
"MDS2",-0.222694402548582,0.790377421511262,0.837762199854254,0.991230417748256,0.991230417748256
"MEN1",0.196995250443546,0.732988775235702,0.577440431476223,0.991230417748256,0.991230417748256
"MGA",0.540733127535058,0.177640914650572,0.401121173427604,0.991230417748256,0.991230417748256
"MGMT",0.683610386220413,0.315706082935025,0.68134773763465,0.991230417748256,0.991230417748256
"MLLT10",0.0685108162437624,0.901188689387029,0.551795133487347,0.991230417748256,0.991230417748256
"MLLT11",0.595474494239722,0.487040348005971,0.856768418079972,0.991230417748256,0.991230417748256
"MLLT6",0.428756785724804,0.435179204419662,0.549434839871084,0.991230417748256,0.991230417748256
"MPL",0.601712463920456,0.284600838900587,0.562326532164515,0.991230417748256,0.991230417748256
"MTOR",0.201984646660262,0.725543886292631,0.575357684854461,0.991230417748256,0.991230417748256
"MUC6",0.185424239896216,0.670686097249375,0.436080376495675,0.991230417748256,0.991230417748256
"MUTYH",0.739062237982325,0.205704486283509,0.584023983554582,0.991230417748256,0.991230417748256
"MYCL",-0.480500268892393,0.546517876155362,0.796867783480962,0.991230417748256,0.991230417748256
"MYH11",0.221385443368809,0.484013894693393,0.316327573127073,0.991230417748256,0.991230417748256
"MYO5A",0.00913975123464052,0.984730546156464,0.477556126842638,0.991230417748256,0.991230417748256
"MYOD1",-0.518787171808058,0.523637649103681,0.813467177516232,0.991230417748256,0.991230417748256
"NAB2",-0.698308163252424,0.371839906466475,0.781951793149222,0.991230417748256,0.991230417748256
"NACA",0.865449277198755,0.37061992444145,0.966644642882805,0.991230417748256,0.991230417748256
"NBEA",0.490996284572813,0.228181321675146,0.407446543534469,0.991230417748256,0.991230417748256
"NCOR1",0.244346209656542,0.558028127801176,0.417134701396314,0.991230417748256,0.991230417748256
"NCOR2",-0.576028486863567,0.202794858812947,0.452273304518095,0.991230417748256,0.991230417748256
"NF1",0.317811306928641,0.38848959787415,0.368536816915506,0.991230417748256,0.991230417748256
"NFKB2",0.326599910831227,0.533474784259579,0.524481140204851,0.991230417748256,0.991230417748256
"NIN",0.176495162119187,0.670984459419791,0.415480912203007,0.991230417748256,0.991230417748256
"NKX2-1",-0.406220840275809,0.617758194193273,0.814020752454677,0.991230417748256,0.991230417748256
"NOTCH2",-0.287602318926143,0.539075564915491,0.468246380540458,0.991230417748256,0.991230417748256
"NRAS",0.273520583903399,0.708186765624931,0.73076707974385,0.991230417748256,0.991230417748256
"NT5C2",0.440747183838965,0.48142539286074,0.626050801163566,0.991230417748256,0.991230417748256
"NTHL1",-0.699435016890539,0.37116292908412,0.782105839970721,0.991230417748256,0.991230417748256
"NTRK1",-0.270803344308766,0.657491024341932,0.61077055716855,0.991230417748256,0.991230417748256
"NTRK3",0.331915345730493,0.435040154937444,0.425207601398131,0.991230417748256,0.991230417748256
"NUMA1",0.215571875054474,0.615615953364593,0.429363342943816,0.991230417748256,0.991230417748256
"NUP133",0.813522202537333,0.0611149984184863,0.434420074328503,0.991230417748256,0.991230417748256
"NUP93",0.165340021199288,0.771165077879193,0.568469327260042,0.991230417748256,0.991230417748256
"NUP98",0.0784011993268235,0.872080529891927,0.486914549024034,0.991230417748256,0.991230417748256
"NUTM1",0.144595415521258,0.799057978607847,0.56800657920553,0.991230417748256,0.991230417748256
"PAFAH1B2",-0.273618732742447,0.739306942911051,0.822242643385658,0.991230417748256,0.991230417748256
"PAX7",0.665826931337302,0.244770720434663,0.572436792131694,0.991230417748256,0.991230417748256
"PBX1",-0.819332277901128,0.299052198603455,0.788981684482668,0.991230417748256,0.991230417748256
"PDS5B",-0.0402595776517044,0.940146969627,0.536185678288781,0.991230417748256,0.991230417748256
"PER1",-0.445581305739976,0.460151033520362,0.603279728524301,0.991230417748256,0.991230417748256
"PGR",-0.0740281557509276,0.891227396674954,0.541334290450041,0.991230417748256,0.991230417748256
"PICALM",0.350844987869786,0.644341819436717,0.760002253973821,0.991230417748256,0.991230417748256
"PML",-0.0457653332073826,0.96063608308339,0.927261209430084,0.991230417748256,0.991230417748256
"POLE",-0.721071681618503,0.165727117574979,0.52022941615196,0.991230417748256,0.991230417748256
"POLG",-0.10813968127126,0.840037874055889,0.535755966644551,0.991230417748256,0.991230417748256
"POU2AF1",0.0407982336035412,0.951138283801256,0.665795695051489,0.991230417748256,0.991230417748256
